** File generated by WinEP - 5/27/2016 (6:13p) **

Station 	Lat_Veh 
0.000000	-1.700000
0.833240	-1.700062
1.666260	-1.700243
2.499061	-1.700533
3.331681	-1.700919
4.164160	-1.701395
4.996548	-1.701958
5.828903	-1.702606
6.661273	-1.703334
7.493690	-1.704137
8.326162	-1.705011
9.158681	-1.705953
9.991231	-1.706963
10.823795	-1.708040
11.656358	-1.709181
12.488911	-1.710385
13.321452	-1.711650
14.153983	-1.712975
14.986507	-1.714358
15.819031	-1.715798
16.651558	-1.717292
17.484091	-1.718838
18.316631	-1.720432
19.149181	-1.722073
19.981737	-1.723759
20.814299	-1.725488
21.646866	-1.727258
22.479433	-1.729065
23.312004	-1.730909
24.144579	-1.732785
24.977154	-1.734692
25.809734	-1.736627
26.642317	-1.738587
27.474905	-1.740571
28.307497	-1.742575
29.140093	-1.744596
29.972692	-1.746634
30.805298	-1.748683
31.637907	-1.750744
32.470520	-1.752813
33.303139	-1.754888
34.135757	-1.756967
34.968384	-1.759047
35.801010	-1.761127
36.633644	-1.763205
37.466282	-1.765278
38.298923	-1.767344
39.131569	-1.769403
39.964218	-1.771451
40.796871	-1.773488
41.629528	-1.775511
42.462189	-1.777519
43.294853	-1.779509
44.127522	-1.781482
44.960197	-1.783434
45.792873	-1.785365
46.625553	-1.787273
47.458241	-1.789157
48.290928	-1.791016
49.123623	-1.792848
49.956318	-1.794652
50.789021	-1.796427
51.621723	-1.798173
52.454433	-1.799887
53.287148	-1.801570
54.119862	-1.803219
54.952583	-1.804835
55.785305	-1.806417
56.618034	-1.807964
57.450768	-1.809474
58.283501	-1.810949
59.116241	-1.812387
59.948982	-1.813787
60.781731	-1.815150
61.614479	-1.816474
62.447231	-1.817760
63.279991	-1.819007
64.112755	-1.820215
64.945518	-1.821383
65.778282	-1.822511
66.611053	-1.823600
67.443832	-1.824648
68.276611	-1.825657
69.109390	-1.826625
69.942177	-1.827554
70.774963	-1.828443
71.607758	-1.829291
72.440552	-1.830101
73.273354	-1.830870
74.106155	-1.831601
74.938965	-1.832292
75.771774	-1.832945
76.604584	-1.833559
77.437401	-1.834135
78.270218	-1.834673
79.103043	-1.835174
79.935867	-1.835639
80.768692	-1.836067
81.601524	-1.836459
82.434364	-1.836815
83.267197	-1.837137
84.100044	-1.837425
84.932884	-1.837679
85.765732	-1.837901
86.598579	-1.838090
87.431435	-1.838247
88.264290	-1.838374
89.097153	-1.838471
89.930016	-1.838539
90.762878	-1.838577
91.595749	-1.838588
92.428619	-1.838572
93.261490	-1.838529
94.094368	-1.838461
94.927254	-1.838368
95.760132	-1.838251
96.593018	-1.838111
97.425911	-1.837948
98.258797	-1.837764
99.091690	-1.837559
99.924591	-1.837334
100.757492	-1.837090
101.590393	-1.836827
102.423294	-1.836546
103.256203	-1.836249
104.089111	-1.835936
104.922028	-1.835607
105.754944	-1.835264
106.587860	-1.834907
107.420776	-1.834537
108.253700	-1.834154
109.086632	-1.833760
109.919556	-1.833355
110.752487	-1.832940
111.585419	-1.832515
112.418358	-1.832081
113.251297	-1.831640
114.084236	-1.831191
114.917183	-1.830735
115.750130	-1.830274
116.583076	-1.829807
