1460, 0.5625, 0.375, 0.1875, 0, -0.1875, -0.375, -0.5625
1480, 0.5625, 0.375, 0.1875, 0, -0.1875, -0.375, -0.5625
1500, 0.5625, 0.375, 0.1875, 0, -0.1875, -0.375, -0.5625
1520, 0.5625, 0.375, 0.1875, 0, -0.1875, -0.375, -0.5625
1540, 0.5625, 0.375, 0.1875, 0, -0.1875, -0.375, -0.5625
1560, 0.5625, 0.375, 0.1875, 0, -0.1875, -0.375, -0.5625
1580, 0.5625, 0.375, 0.1875, 0, -0.1875, -0.375, -0.5625
1600, 0.5625, 0.375, 0.1875, 0, -0.1875, -0.375, -0.5625
1620, 0.5625, 0.375, 0.1875, 0, -0.1875, -0.375, -0.5625
1640, 0.5625, 0.375, 0.1875, 0, -0.1875, -0.375, -0.5625
1660, 0.5625, 0.375, 0.1875, 0, -0.1875, -0.375, -0.5625
1680, 0.5625, 0.375, 0.1875, 0, -0.1875, -0.375, -0.5625
1700, 0.5625, 0.375, 0.1875, 0, -0.1875, -0.375, -0.5625
1720, 0.5625, 0.375, 0.1875, 0, -0.1875, -0.375, -0.5625
1740, 0.5625, 0.375, 0.1875, 0, -0.1875, -0.375, -0.5625
1760, 0.5625, 0.375, 0.1875, 0, -0.1875, -0.375, -0.5625
1780, 0.5625, 0.375, 0.1875, 0, -0.1875, -0.375, -0.5625
1800, 0.5625, 0.375, 0.1875, 0, -0.1875, -0.375, -0.5625
1820, 0.5625, 0.375, 0.1875, 0, -0.1875, -0.375, -0.5625
1840, 0.5625, 0.375, 0.1875, 0, -0.1875, -0.375, -0.5625
1860, 0.5625, 0.375, 0.1875, 0, -0.1875, -0.375, -0.5625
1880, 0.5625, 0.375, 0.1875, 0, -0.1875, -0.375, -0.5625
1900, 0.5625, 0.375, 0.1875, 0, -0.1875, -0.375, -0.5625
1920, 0.5625, 0.375, 0.1875, 0, -0.1875, -0.375, -0.5625
1940, 0.5625, 0.375, 0.1875, 0, -0.1875, -0.375, -0.5625
1960, 0.5625, 0.375, 0.1875, 0, -0.1875, -0.375, -0.5625
1980, 0.5625, 0.375, 0.1875, 0, -0.1875, -0.375, -0.5625
2000, 0.5625, 0.375, 0.1875, 0, -0.1875, -0.375, -0.5625
2020, 0.5625, 0.375, 0.1875, 0, -0.1875, -0.375, -0.5625
2040, 0.5499, 0.3666, 0.1833, 0, -0.1784, -0.3568, -0.5352
2060, 0.5135, 0.3424, 0.1712, 0, -0.1551, -0.3103, -0.4654
2080, 0.4577, 0.3051, 0.1526, 0, -0.1256, -0.2511, -0.3767
2100, 0.3867, 0.2578, 0.1289, 0, -0.0974, -0.1949, -0.2923
2120, 0.3049, 0.2032, 0.1016, 0, -0.0786, -0.1572, -0.2358
2140, 0.2164, 0.1443, 0.0721, 0, -0.075, -0.15, -0.225
2160, 0.1258, 0.0838, 0.0419, 0, -0.075, -0.15, -0.225
2180, 0.0371, 0.0247, 0.0124, 0, -0.075, -0.15, -0.225
2200, -0.0452, -0.0301, -0.0151, 0, -0.075, -0.15, -0.225
2220, -0.1169, -0.0779, -0.039, 0, -0.075, -0.15, -0.225
2240, -0.1736, -0.1157, -0.0579, 0, -0.075, -0.15, -0.225
2260, -0.2111, -0.1407, -0.0704, 0, -0.075, -0.15, -0.225
2280, -0.225, -0.15, -0.075, 0, -0.075, -0.15, -0.225
2300, -0.225, -0.15, -0.075, 0, -0.075, -0.15, -0.225
2320, -0.225, -0.15, -0.075, 0, -0.075, -0.15, -0.225
2340, -0.225, -0.15, -0.075, 0, -0.075, -0.15, -0.225
