炉石传说：【天天素材库】 第28期
up主: 天天卡牌
时间	发送日期		弹幕内容
07:03	11-07 21:03:32	傻龙怎么不影响公平，一般优势谁下傻龙，劣势坑就坑了，反正要输了	
05:41	11-07 21:05:19	23333333333333333	
02:08	11-07 21:07:22	这个真的在现场	
00:03	11-07 21:07:22	还是无无素材库的作者敬业	
00:15	11-07 21:08:13	前	
00:00	11-07 21:09:02	三小时前	
07:41	11-07 21:12:09	真精彩	
06:26	11-07 21:13:04	哈哈哈哈哈哈有护甲没血	
02:31	11-07 21:14:05	滑稽看着王QWQ	
08:05	11-07 21:17:11	参见逼王	
03:03	11-07 21:18:23	酋长combo	
07:16	11-07 21:18:27	战吼：吓对面一跳	
04:47	11-07 21:20:52	朝鲜人不要去欧服啊！	
00:08	11-07 21:21:21	欢迎回来！	
01:04	11-07 21:21:39	安度因：暴风城将士们听我号令	
00:09	11-07 21:21:43	欢迎回归！	
04:33	11-07 21:21:43	美服	
08:26	11-07 21:22:16	这期质量真心很好！	
00:02	11-07 21:22:41	我选择死亡	
03:24	11-07 21:23:43	梦游先生的等等我！！！	
00:06	11-07 21:23:56	弹幕呢？	
00:04	11-07 21:24:18	欢迎回来。	
00:12	11-07 21:24:23	前10w	
00:06	11-07 21:24:45	有生之年！！！！	
04:16	11-07 21:25:57	听说是5攻？	
00:07	11-07 21:26:15	前一万	
06:11	11-07 21:26:24	对不起，我是警察	
07:16	11-07 21:29:24	10费战吼：吓你一跳	
07:52	11-07 21:29:34	23333333	
06:07	11-07 21:30:02	对唔住 我系差人	
00:03	11-07 21:30:56	第一	
06:55	11-07 21:31:05	我的傻龙不傻	
05:34	11-07 21:31:33	小aaa ！！！！ 居然上榜了	
00:12	11-07 21:32:15	失踪人口回归	
00:03	11-07 21:32:37	四小时前	
08:00	11-07 21:33:03	真厉害	
03:33	11-07 21:34:18	解	
02:15	11-07 21:35:53	在现场啊哈哈哈哈	
01:17	11-07 21:36:38	王牌双狙的你在逗我？	
04:45	11-07 21:36:35	哈哈哈哈哈哈66666	
02:53	11-07 21:36:55	我这条命都是四驱车给的！	
03:56	11-07 21:38:04	血骑士	
05:11	11-07 21:39:17	233333	
00:09	11-07 21:39:45	欢迎回来	
00:13	11-07 21:39:48	失踪人口回归！	
05:42	11-07 21:39:50	2333333	
00:05	11-07 21:41:03	欢迎回来	
00:26	11-07 21:41:32	bgm：HearthRock	
00:10	11-07 21:41:53	ttkp不在的第二周，想他。	
02:00	11-07 21:42:06	'	
04:45	11-07 21:42:48	看清楚，是欧服，左边写着	
00:01	11-07 21:43:07	提前晕。。啊不好意思走错片场了	
04:07	11-07 21:45:35	士兵们，拿起砖头！	
03:05	11-07 21:45:44	顶个呼啦用	
07:40	11-07 21:45:45	hhhhhhhhhhhhhhh	
04:36	11-07 21:47:30	泰兰德怎么得到啊？	
05:46	11-07 21:47:56	周卓：鬼知道我经历了些什么	
06:09	11-07 21:48:15	导演:抬走下一个	
07:34	11-07 21:49:41	哈哈哈哈	
02:29	11-07 21:50:53	大哥光芒万丈！！	
08:07	11-07 21:51:06	前方高能！注意右下角数字！	
07:36	11-07 21:54:01	哈哈哈哈哈哈哈哈哈	
04:41	11-07 21:55:01	自古螺丝轰女王，自古女王拉螺丝	
04:42	11-07 21:55:26	这是亚服啊	
05:20	11-07 21:56:32	以为基尘终于上电视了，结果一看是小A	
08:33	11-07 21:56:53	233333	
07:22	11-07 21:57:14	在现场，哈哈哈哈哈	
00:14	11-07 21:57:44	失踪人口回归系列	
00:01	11-07 21:59:16	不看，晕针	
07:04	11-07 21:59:30	同福爆破，同福乱斗，同福导演	
07:59	11-07 22:00:03	大半夜笑了	
00:01	11-07 22:00:39	没有ttkp的日子，蓝瘦，香菇	
00:15	11-07 22:04:58	晕针	
02:14	11-07 22:05:53	好久不见大哥	
00:46	11-07 22:05:59	蜜汁契合	
00:00	11-07 22:07:03	欢迎回来~	
02:09	11-07 22:07:33	又是你，有事加兹瑞拉卧槽	
00:02	11-07 22:09:04	欢迎回来	
00:23	11-07 22:09:33	。。	
00:43	11-07 22:10:07	墨泽！	
00:01	11-07 22:10:25	失踪人口回归	
02:52	11-07 22:10:41	你好 这是你点的七费卡	
01:07	11-07 22:12:33	第一	
07:58	11-07 22:12:51	同款滑稽抱枕！	
00:09	11-07 22:12:59	回来了	
00:15	11-07 22:14:08	565446	
02:55	11-07 22:14:15	正面素材	
00:09	11-07 22:15:11	1	
02:10	11-07 22:15:25	在现场	
01:58	11-07 22:15:36	你已经是个屎人了	
04:45	11-07 22:15:38	女王：打了我你就是我的人了	
02:02	11-07 22:16:06	在现场	
04:42	11-07 22:16:13	皮肤哪来的	
00:13	11-07 22:16:19	提前晕针	
00:16	11-07 22:16:52	逗鱼时刻永不为奴	
04:45	11-07 22:17:15	bgm瞩目	
06:13	11-07 22:17:31	对唔住，我系差人	
05:42	11-07 22:17:34	松鼠镀金	
03:56	11-07 22:17:45	士兵们提起裤子	
00:02	11-07 22:18:21	欢迎回来，牌牌！~一起GTMD键盘侠，TTKP永不为奴！~	
00:08	11-07 22:18:33	GTMDTTKP欢迎牌牌回归，永远支持你~~~	
03:21	11-07 22:18:47	自损八百伤敌一千	
07:33	11-07 22:19:07	哈哈哈哈哈哈	
08:44	11-07 22:20:11	谢谢小编	
03:01	11-07 22:20:26	我这条命都是G...不好意思 走错片场	
00:49	11-07 22:22:45	等很久了	
06:27	11-07 22:25:10	论血和护甲的区别	
05:52	11-07 22:26:58	恶魔阿萨谢尔在召唤你ova的ed不谢	
04:58	11-07 22:27:05	泰兰德怎么来的	
00:04	11-07 22:27:08	失踪人口，欢迎回来！	
02:14	11-07 22:27:32	记念希妹的维纶火门加兹瑞拉	
02:20	11-07 22:28:39	在现场  见证我王	
05:48	11-07 22:29:21	233333	
01:47	11-07 22:29:32	diediedie！	
03:47	11-07 22:30:30	铜须挂烤火冲刚好解干净	
00:18	11-07 22:30:39	这期质量贼高	
07:52	11-07 22:31:41	233333	
06:10	11-07 22:38:39	四里，二五仔	
07:16	11-07 22:39:03	10费：什么都不干	
03:59	11-07 22:39:04	sol:军需官，发砖头！	
00:10	11-07 22:39:32	欢迎回来	
00:03	11-07 22:39:44	失踪人口回归	
02:43	11-07 22:39:57	在现场	
00:09	11-07 22:40:10	啊	
01:21	11-07 22:40:39	王牌双狙都不会，一看就没上过传说	
08:29	11-07 22:40:49	我也分了	
00:08	11-07 22:40:49	前12W	
01:50	11-07 22:41:12	食我大地雷啦	
07:32	11-07 22:41:35	连小板都不放过	
00:25	11-07 22:41:57	BGM好带感	
08:36	11-07 22:42:47	少了1600尘	
05:44	11-07 22:43:29	233333333333	
00:00	11-07 22:43:43	周指活	
00:02	11-07 22:43:56	前28w	
05:28	11-07 22:44:17	以为基尘＋1	
08:33	11-07 22:44:28	对不起 我是警察	
06:26	11-07 22:44:25	厉害了我的哥	
05:39	11-07 22:44:34	周卓一脸懵逼	
00:02	11-07 22:44:59	晕针	
00:07	11-07 22:45:24	提前晕针	
07:57	11-07 22:45:57	23333333333333333333333	
00:13	11-07 22:47:11	前一万	
00:10	11-07 22:47:37	看我刷出了蛇	
00:06	11-07 22:49:33	换因故回来	
07:32	11-07 22:50:27	导演花式作死自己	
03:44	11-07 22:51:06	我就是这么玩的 hhhh	
02:33	11-07 22:52:32	滑稽	
00:13	11-07 22:52:48	失踪人口	
00:06	11-07 22:52:56	失踪人口回归	
03:48	11-07 22:53:06	啊~~~五环......	
05:08	11-07 22:54:22	哈哈哈	
00:05	11-07 22:54:46	提前晕针，抱歉走错片场了	
05:41	11-07 22:55:00	什么鬼	
02:53	11-07 22:55:19	解场喽	
05:42	11-07 22:55:27	md	
01:36	11-07 22:55:45	毕老师	
03:15	11-07 22:55:45	炸在你身痛在我心	
00:20	11-07 22:56:20	第一次见炉石BGM这么燃的	
05:24	11-07 22:56:09	同以为迹尘	
06:25	11-07 22:56:26	教练你学会了么	
02:42	11-07 22:58:28	176，还有一只小野菊	
06:06	11-07 22:58:33	你去跟死去的局长说啊	
06:35	11-07 22:59:10	好讨厌这个主播  又装逼又娘	
00:02	11-07 23:00:56	无无素材库	
02:26	11-07 23:01:34	吾王威武	
05:45	11-07 23:01:49	猎人：我的人头啊啊啊啊 	
03:34	11-07 23:02:27	非洲大表哥	
06:26	11-07 23:02:37	对勿组 我嘿差人。。。	
00:05	11-07 23:03:03	欢迎回来	
07:52	11-07 23:04:55	10费星界腐根真的笑哭我了哈哈哈哈哈	
00:02	11-07 23:06:28	不看晕。。不好意思走错片场了	
05:20	11-07 23:07:25	我台主播	
04:06	11-07 23:07:32	农民工们 拿起转头	
08:34	11-07 23:07:54	←街物语不谢	
01:54	11-07 23:08:05	前略：剪头前的啦神，，，	
02:20	11-07 23:09:18	现场	
04:34	11-07 23:10:24	这是欧服	
04:24	11-07 23:10:45	参见将军	
03:30	11-07 23:12:15	手撕大表哥	
08:40	11-07 23:12:53	享受了一波金的，改了马上分了的我	
00:07	11-07 23:13:11	提前晕针	
02:32	11-07 23:13:27	我就看到后面一个大大的滑稽	
01:17	11-07 23:13:27	←说下游戏的毕竟naive，嘴子还欠	
01:23	11-07 23:14:03	弹幕连王牌双狙暴风城都不会，可见手速不够资历也浅	
01:08	11-07 23:14:48	如果是3费的王牌就能看到手速帝的双王牌了	
05:19	11-07 23:15:01	服	
06:23	11-07 23:15:58	你去和死去黄督察说呀	
02:38	11-07 23:16:47	大哥说是173就是173	
00:52	11-07 23:17:09	声控对面的牌库，厉害了	
00:05	11-07 23:18:52	前10w	
02:56	11-07 23:19:38	现场	
07:24	11-07 23:20:39	心疼我瓦	
08:06	11-07 23:20:42	参见逼王	
05:07	11-07 23:20:56	工匠大师真是虎，对面报告变55，熊猫回手再一次，熊猫变成小松树	
00:02	11-07 23:21:23	gtmdttkp	
07:32	11-07 23:21:44	心疼小板	
07:06	11-07 23:21:54	尤格萨隆：战吼消灭自己	
02:09	11-07 23:22:12	在现场，这是俩星期前的	
04:42	11-07 23:22:18	2分之一的概率。放再多有用？	
00:06	11-07 23:22:31	前鬼知道多少万	
07:14	11-07 23:22:33	10费空过	
07:35	11-07 23:22:49	233333333	
07:58	11-07 23:23:22	23333333	
05:10	11-07 23:24:29	2333333	
07:55	11-07 23:24:42	豪华套餐	
00:17	11-07 23:25:48	失踪人口回归	
00:15	11-07 23:25:36	平行宇宙晕针	
00:06	11-07 23:26:52	gtr弹射起步	
03:17	11-07 23:27:19	听说你怕个球？	
08:07	11-07 23:27:49	2333333	
00:20	11-07 23:29:06	终于出了	
01:50	11-07 23:29:08	我干过。。。	
01:31	11-07 23:32:41	我一般硬币山岭	
00:01	11-07 23:32:45	终于等到你	
06:04	11-07 23:33:36	对不起我是警察	
01:42	11-07 23:34:00	瞬间爆炸	
07:16	11-07 23:37:51	十费空过系列	
05:43	11-07 23:39:30	金色松鼠！！	
02:39	11-07 23:39:53	天呐	
00:18	11-07 23:39:59	等了好久啊	
07:10	11-07 23:41:17	导演：我选择死亡	
00:06	11-07 23:43:57	日常扫墓	
04:19	11-07 23:45:59	大声的告诉我，素材靠什么传染	
00:32	11-07 23:46:55	BGM!!!赞	
00:12	11-07 23:51:45	随缘更新	
00:02	11-07 23:53:06	你别摸我腿	
00:02	11-07 23:53:54	解	
07:53	11-07 23:56:13	滑稽	
00:00	11-07 23:57:10	第一？没人？	
04:44	11-07 23:57:24	桌子：没打我喵喵喵	
00:00	11-07 23:58:32	你是谁，为什么会在我的关注列表里？	
06:17	11-07 23:58:52	惊了，这里还有猛男的	
00:05	11-07 23:59:45	
07:32	11-08 00:00:24	鱼人宝宝：？	
02:16	11-08 00:03:30	在现场	
02:31	11-08 00:04:55	欠我！！！一百七十三滴血！！！	
00:00	11-08 00:05:36	人比弹幕多	
08:06	11-08 00:06:17	大半夜笑了＋1	
05:30	11-08 00:08:59	以为基尘+2	
06:34	11-08 00:10:28	这个表示自己压力很大的摸脖好秀美！	
07:56	11-08 00:10:49	23333333333半夜笑醒	
07:35	11-08 00:10:52	连小板都不放过！	
00:03	11-08 00:11:07	复活	
00:00	11-08 00:11:13	..	
06:57	11-08 00:12:32	指挥部！！！一个就够了！！！	
05:19	11-08 00:12:50	爷大干~~~	
08:41	11-08 00:13:12	然而今天狗贼的导演各种强无敌	
04:33	11-08 00:13:19	金正涛23333333	
08:17	11-08 00:14:33	我刚准备说改版后傻龙变厉害了，然后就？，	
08:32	11-08 00:15:26	这期质量好真是因为大家好想你！！！投币！！！	
02:41	11-08 00:18:34	滑稽	
07:56	11-08 00:18:24	滑稽	
03:16	11-08 00:22:31	啦神有个烧死两个的	
03:18	11-08 00:23:17	这个套路太深	
00:04	11-08 00:27:57	猪丢了233333	
08:00	11-08 00:28:11	滑稽引人注目	
01:21	11-08 00:29:59	手速梗居然能钓出这么多鱼。。。唉	
02:37	11-08 00:36:17	你嗦173就173	
00:01	11-08 00:37:09	欢迎回来！！！	
00:00	11-08 00:38:52	第一	
02:27	11-08 00:40:35	祖尔法拉克敲铜锣！	
00:18	11-08 00:41:55	前15W	
06:00	11-08 00:41:54	不给，滚	
00:08	11-08 00:44:13	第一	
03:40	11-08 00:46:39	我凑。。美女你谁？兔子什么时候这么漂亮了	
08:33	11-08 00:49:08	改版分+1	
07:05	11-08 00:50:01	同福傻龙	
00:02	11-08 00:50:28	不看，晕针，什么？又走错了？	
08:12	11-08 00:51:42	给对面奶14颜爆我然后自杀，最近基本就酱	
06:49	11-08 00:53:49	谁说导演削了后就没有素材了	
00:36	11-08 00:56:16	法术伤害+4 实际效果比大蓝龙强	
00:10	11-08 00:56:57	啦啦啦啦	
00:14	11-08 00:58:04	痛失前1000	
07:04	11-08 00:58:16	傻龙战吼：弃掉你的所有手牌和水晶并过载10，然后消灭自己	
00:10	11-08 01:01:35	原来只有逗鱼时刻停更？	
07:04	11-08 01:01:44	优格萨隆 10费75 战吼吓对面一跳	
07:16	11-08 01:01:46	十费尤格萨隆：消灭自己，并吓对面一跳	
06:38	11-08 01:02:04	吃我大地震击！！！	
00:48	11-08 01:02:41	天天卡牌是不是被人拐卖了，现在才救出来	
00:18	11-08 01:04:01	欢迎回归	
00:10	11-08 01:10:46	祝愿天天卡牌身体健康	
00:08	11-08 01:11:37	终于更新了！	
00:25	11-08 01:11:50	4 5 20 加 9 还有 奥冲两点接随从 瓦娘就是强	
06:32	11-08 01:13:27	这几乎是护甲和血量的唯一区别了	
01:59	11-08 01:13:56	刚红色弹幕是ttkp吗	
00:46	11-08 01:16:12	终于更新了	
07:19	11-08 01:17:31	负伤傻龙	
08:34	11-08 01:19:41	加油天天卡牌 希望越做越好！	
02:30	11-08 01:20:01	大哥光芒万丈！	
07:51	11-08 01:26:32	233333333333333333333	
00:11	11-08 01:30:05	等到了	
00:02	11-08 01:34:33	终于等到你	
04:35	11-08 01:35:29	ID:金正涛23333	
00:00	11-08 01:37:04	周指活	
04:34	11-08 01:37:19	我也想要太奶奶	
07:56	11-08 01:48:41	10费丢弃所有手牌并给对手随机随从卡	
04:13	11-08 01:54:10	士兵们 提起裤子	
07:06	11-08 01:57:22	10费空过	
08:02	11-08 01:58:17	后面滑稽	
04:16	11-08 02:01:50	我都是带争强好胜的	
07:43	11-08 02:04:02	装完逼就跑，真刺激	
03:55	11-08 02:17:58	蒂蒂	
01:57	11-08 02:22:19	承包我啦	
02:25	11-08 02:23:23	王6666666666666	
00:03	11-08 02:29:16	GTM天天卡牌	
00:12	11-08 02:31:05	欢迎回来！	
06:29	11-08 02:31:12	x	
03:23	11-08 02:33:25	我就是力量的花生～～	
04:26	11-08 02:35:19	竟然没有专属BGM了?	
03:57	11-08 02:37:59	你总不能有把集结之刃吧	
00:18	11-08 02:46:37	欢迎回归	
01:07	11-08 02:59:08	沃日	
02:29	11-08 03:00:52	祖尔法拉克敲铜锣！！！！！	
04:34	11-08 03:03:07	我看到了结局	
00:08	11-08 03:03:32	周指活	
06:34	11-08 03:05:09	护甲都是纸系列	
07:05	11-08 03:06:10	然而一个法术就够了	
02:02	11-08 03:10:15	。。	
00:54	11-08 03:22:36	声控游戏	
02:58	11-08 03:24:40	233333333	
00:23	11-08 03:36:19	加油～	
08:16	11-08 03:43:56	在图书馆笑出声	
00:00	11-08 04:13:42	惊了！不是说不播了吗	
00:12	11-08 04:19:06	喵喵喵	
02:30	11-08 04:51:27	欠我！！一百三十七滴血！！！	
05:30	11-08 05:00:50	只是问问	
00:00	11-08 05:04:51	第一1	
00:12	11-08 05:21:28	30血斩杀，可以这很强势	
00:44	11-08 05:26:39	墨泽？	
01:31	11-08 05:27:47	那么多人不知道王牌双毙暴风城啊 。。	
00:08	11-08 05:27:54	第一	
03:36	11-08 05:30:53	非洲人的自信	
02:58	11-08 05:33:42	bgm：that man喜欢swing jazz的宝宝们可以听听	
04:23	11-08 05:43:57	泰兰德皮肤国服出来差不多是60吧	
07:31	11-08 05:52:32	2333333	
07:48	11-08 05:53:40	王 驾崩啦！	
08:22	11-08 06:24:49	b王有一次是星界之后暗影打击233333333	
00:09	11-08 06:30:27	有生之年	
00:05	11-08 06:31:04	失踪人口回归	
04:01	11-08 06:52:36	为了辛多拉的荣耀	
01:10	11-08 07:04:30	哎哎哎！？！？拜见酋长！	
01:58	11-08 07:05:33	酋长之后啦啦啦，噫	
02:31	11-08 07:06:37	王，不是我说，但是那个滑稽真的抢镜了	
00:17	11-08 07:08:21	终于等到你	
03:59	11-08 07:08:34	哎，我记得好像有张牌叫军需官来着？	
04:56	11-08 07:09:39	等等！？id搞事！	
05:18	11-08 07:10:21	桌子逃过一劫666	
06:48	11-08 07:12:05	算斩杀	
06:05	11-08 07:15:28	对不起 我是谐警旭东黄	
06:48	11-08 07:21:22	实际上不用五个法术，一个就够了	
02:29	11-08 07:26:25	吾王武威！！！！	
03:57	11-08 07:27:54	集结之刃爆炸	
07:58	11-08 07:31:58	在现场	
07:23	11-08 07:42:21	很同福 很傻龙	
00:08	11-08 07:47:38	失踪人口回归	
06:56	11-08 08:04:34	瓦娘一人撑起同福素材库	
06:08	11-08 08:07:23	导演：抬走，下一个	
06:20	11-08 08:07:42	抬走，下一个	
07:49	11-08 08:25:29	毒奶	
01:17	11-08 08:32:40	a a	
00:09	11-08 08:36:16	失踪人口回归系列	
00:00	11-08 08:44:22	欢迎回来	
00:11	11-08 08:48:02	晕针的走错片场了	
00:09	11-08 09:05:07	GTMDTTKP    欢迎回来	
00:12	11-08 09:15:06	晕针	
02:59	11-08 09:24:40	我这条命都是四驱车给的，现在它说要拿回去	
00:00	11-08 09:25:10	haohaohao 	
07:55	11-08 09:30:36	23333333333	
05:32	11-08 09:36:40	我台主播	
00:02	11-08 09:48:24	不看晕针！	
00:59	11-08 09:53:09	为了联盟	
07:59	11-08 09:55:17	天谴之人！！！	
06:14	11-08 09:55:49	2333333	
02:36	11-08 09:56:18	大哥光芒万丈！	
08:26	11-08 09:58:08	2333333333	
00:42	11-08 09:58:15	高冷帅的rock版！	
00:11	11-08 09:59:23	不看，晕针	
00:07	11-08 10:01:07	晕针	
07:27	11-08 10:02:10	看见这个鱼人没，炸掉也不给你	
00:06	11-08 10:02:24	欢迎回归	
00:11	11-08 10:02:49	为了天无卡牌w	
05:22	11-08 10:04:49	这个明天不播一股马眼的气息哈哈	
03:23	11-08 10:04:51	非洲人的自信啊	
07:58	11-08 10:07:52	针厉害	
08:33	11-08 10:15:08	↓我曾一度以为泰兰德是只猴子	
00:08	11-08 10:22:12	欢迎	
02:19	11-08 10:22:50	在现场	
03:31	11-08 10:23:59	无敌combo	
08:02	11-08 10:32:41	参见逼王	
00:05	11-08 10:34:40	1	
00:00	11-08 10:36:28	欢迎回来！	
07:48	11-08 10:50:38	亲切沟通！	
00:10	11-08 11:01:07	失踪人口回归	
01:44	11-08 11:03:05	过气解说（雾）	
00:18	11-08 11:06:16	欢迎归来，前1万	
02:01	11-08 11:10:29	啦啦啦后面粉色的是啥	
06:21	11-08 11:12:06	惊了，秦流感都传到这来了	
00:00	11-08 11:27:12	失踪人口回归	
07:34	11-08 11:31:49	解得漂亮！！！！	
00:10	11-08 11:36:01	提前晕针	
00:00	11-08 11:41:29	862个小伙伴大家好！！！	
03:40	11-08 11:42:30	BGM Caro Emerald - That Man	
00:14	11-08 11:43:41	炉石第一女主播	
00:11	11-08 11:44:42	欢迎回来	
08:19	11-08 11:48:51	对不起我是保安	
00:03	11-08 11:50:07	失踪人口回归	
07:59	11-08 11:59:33	针厉害！	
00:04	11-08 12:03:51	我要逗鱼时刻!	
06:34	11-08 12:06:18	寿衣笑死wwwwwww	
02:44	11-08 12:06:48	我没开弹幕？？？	
07:33	11-08 12:13:05	10费效果污染鱼塘	
07:57	11-08 12:14:55	宇宙法优势时候想玩下傻龙，满手牌没了，同样的经历 sad	
07:37	11-08 12:15:12	在现场系列，可惜没录下来啊	
02:57	11-08 12:16:23	在现场	
00:04	11-08 12:16:29	终于更新了	
00:03	11-08 12:17:41	失踪人口回归	
01:52	11-08 12:23:05	燃	
03:20	11-08 12:25:47	这套路太深学不了	
05:07	11-08 12:29:23	233333333333	
00:54	11-08 12:30:05	声控游戏	
00:03	11-08 12:32:20	终于等到你	
07:57	11-08 12:33:04	哈哈哈哈哈	
07:53	11-08 12:33:15	滑稽2333	
05:21	11-08 12:36:57	bill新皮肤？	
00:11	11-08 12:39:53	我要逗鱼时刻	
05:21	11-08 12:40:26	小a	
06:02	11-08 12:42:09	垃圾游戏上场！	
05:42	11-08 12:43:27	2333333	
00:03	11-08 12:44:17	前	
02:22	11-08 12:47:48	195	
00:06	11-08 12:48:29	干TM天天卡牌~	
07:33	11-08 12:52:42	心疼鱼人宝宝	
00:01	11-08 12:55:22	月指活--	
02:36	11-08 12:57:08	大哥嗦了蒜	
01:20	11-08 13:02:55	sha bi 知道手速快就可以双狙吗？	
00:00	11-08 13:05:03	提前晕针	
04:28	11-08 13:06:48	泰兰德？！	
08:35	11-08 13:11:48	笑死我了哈哈哈	
00:07	11-08 13:12:32	欢迎回来	
