炉石传说：【天天素材库】 第28期
up主: 天天卡牌
时间	发送日期		弹幕内容
00:11	11-07 18:29:36	第一	
05:24	11-07 18:29:42	愿青龙指引你在十点法力值的时候钓上一整天的鱼~~	
01:37	11-07 18:29:49	老毕！！！	
00:12	11-07 18:29:51	回归	
05:24	11-07 18:30:04	愿青龙指引你在十点法力值的时候钓上一整天的鱼~~	
04:48	11-07 18:29:43	哪来的泰兰德，	
05:58	11-07 18:30:00	我想做个好人	
05:42	11-07 18:30:00	23333	
04:15	11-07 18:30:14	银色北伐军	
01:43	11-07 18:30:27	垃圾声控游戏	
00:11	11-07 18:30:33	前1000！	
01:38	11-07 18:30:34	人呢？	
07:14	11-07 18:30:42	酋长别闹快和我走	
07:19	11-07 18:30:57	同福导演	
00:04	11-07 18:30:59	我刷出了什么	
00:05	11-07 18:31:13	前三百	
00:00	11-07 18:31:15	前四万	
02:41	11-07 18:31:20	正片时间	
05:37	11-07 18:31:20	在现场	
00:17	11-07 18:31:33	EJ!!!!	
07:34	11-07 18:31:35	光速解自己场	
07:32	11-07 18:31:54	23333	
01:17	11-07 18:32:02	酋长啊，你出来了啊	
02:51	11-07 18:31:51	我的命都是四驱车给的	
00:01	11-07 18:32:06	周指活	
04:46	11-07 18:32:13	我偏爱螺丝	
01:49	11-07 18:32:17	那么问题来了：这是第几个放进去的地雷？	
07:59	11-07 18:32:16	生无可恋	
03:20	11-07 18:33:09	某种意义上……很屌	
05:34	11-07 18:33:28	全程看左边浣熊	
08:44	11-07 18:33:45	我要这硬币有何用	
00:03	11-07 18:34:04	前三万	
06:33	11-07 18:34:05	寿衣	
03:49	11-07 18:34:15	召唤：血骑士	
00:11	11-07 18:34:27	卡牌不是休假了么	
00:01	11-07 18:34:29	前五万	
00:02	11-07 18:34:55	不看，晕针	
06:53	11-07 18:35:00	还不忘招个渡魂者把被打死的丢给克苏恩	
07:16	11-07 18:35:00	可以，这很同福。	
07:16	11-07 18:35:02	打出了气势	
02:07	11-07 18:35:08	这剪辑 无敌了 	
02:39	11-07 18:35:17	我这条命都是四驱车给的	
04:32	11-07 18:35:30	太奶奶！！	
03:57	11-07 18:35:41	士兵们，提起裤子！	
05:45	11-07 18:36:01	才认出来我台主播	
04:42	11-07 18:36:57	标准结局	
00:10	11-07 18:37:16	失踪人口回归	
08:09	11-07 18:37:25	参见逼王	
04:21	11-07 18:37:27	以为pom又射歪了	
05:44	11-07 18:37:32	哈哈哈哈	
00:02	11-07 18:37:43	提起裤子	
07:33	11-07 18:37:43	我挥一挥衣袖，不带走一片云彩(ಥ_ಥ)	
00:04	11-07 18:37:55	等到花儿都谢了	
06:07	11-07 18:38:14	对唔住，我係差人	
00:10	11-07 18:38:07	前两万	
06:53	11-07 18:39:24	战吼：立即开始下一局游戏	
06:53	11-07 18:40:05	反补哈哈哈哈哈	
04:16	11-07 18:39:53	素材靠什么传播	
00:00	11-07 18:40:26	gtmd天天卡牌	
07:52	11-07 18:40:39	史诗大片	
00:04	11-07 18:40:31	俩周一更，问号??????????	
00:11	11-07 18:40:55	GTR！！！！！！！！	
00:10	11-07 18:41:09	GTR撞死你！！！	
08:27	11-07 18:41:34	他改版那天我已经分解1600已收回来了	
05:18	11-07 18:41:41	发牌员拖下去，炮决！	
02:13	11-07 18:42:23	前方高能~~	
00:10	11-07 18:42:29	天天回来啦。	
00:13	11-07 18:42:44	周指活	
00:04	11-07 18:42:22	前一千	
08:42	11-07 18:42:35	早撕了 辣鸡卡牌的最大力量就是能让游戏变成石头剪子布	
00:04	11-07 18:42:40	欠五万	
00:13	11-07 18:43:44	失踪人口	
02:10	11-07 18:43:49	加兹瑞啦啦啦	
00:00	11-07 18:44:22	天呐	
07:06	11-07 18:45:12	HHH 	
02:23	11-07 18:45:07	 吾王威武	
04:09	11-07 18:45:15	刚刚熊大连续两个拿起武器	
00:18	11-07 18:45:20	无无素材库	
05:32	11-07 18:45:24	很久不见小a直播了。他都上过好多次逗鱼时刻了	
04:45	11-07 18:45:25	找不同。	
02:23	11-07 18:45:27	吾王威武	
04:05	11-07 18:45:17	包工头发砖头	
00:13	11-07 18:45:37	欢迎回来	
02:23	11-07 18:45:45	吾王威武	
00:03	11-07 18:46:00	前	
06:32	11-07 18:46:08	内伤23333	
