【MAD】续 夏目朋友帐子ＥＤ - 爱的 【中国語Ver.】
up主: 冷场莫莫
时间	发送日期		弹幕内容
03:09	12-27 01:51:37	咬字能再清楚点就更好了 不要学这坏毛病啊	
03:50	12-27 01:52:19	哈哈	
04:55	12-27 01:53:23	总体95分啦 咬字和尾音扣5分 嗯嗯	
01:06	12-27 01:54:52	第一季..  谁会唱岛歌 	
01:58	12-27 01:55:43	刘德华翻唱过中孝介的歌  听过那个之后	
02:16	12-27 01:56:01	就不指望有人能翻唱夏木第一季的ED了	
05:00	12-27 01:58:46	我爱你	
02:16	01-02 18:19:54	和原版一起放很有感覺啊	
00:02	05-24 22:01:04	夏目友人帐的必须要瞧瞧	
00:39	05-24 22:01:42	国语也不错	
04:23	05-24 22:05:26	第三季期待啊 会有吧	
04:56	05-24 22:06:16	猫咪老师 萌	
05:09	05-24 22:06:35	~\(≧▽≦)/~	
02:09	05-24 22:59:07	想再看一边+1	
03:15	05-31 20:19:27	总有种淡淡的忧伤	
00:13	06-29 16:30:09	夏木啊	
00:22	06-29 16:30:18	我喜欢	
02:40	07-06 04:01:04	日本也没多少能唱好岛歌的吧。。	
04:57	07-06 04:03:44	馒头	
00:27	07-21 17:58:19	黑	
01:56	07-21 18:00:49	感动了	
00:08	08-27 23:10:05	av222	
00:14	01-06 21:47:17	HEY	
01:50	01-06 21:48:26	在认真看呢	
02:02	01-06 21:49:24	哇。。。	
04:05	01-06 21:50:40	大家都很认真的看呢	
04:16	01-06 21:51:51	都没刷字幕	
00:35	01-11 18:04:19	想哭了TUT	
01:21	01-11 18:05:02	歌词好美	
00:10	01-14 23:59:54	222.................	
04:56	01-17 13:25:16	谢谢你	
00:38	03-28 14:19:42	好早的视频--	
04:24	03-28 14:23:17	良心啊	
00:25	07-16 16:07:38	从22222,2222而来	
00:14	07-21 22:39:26	我是输入222找来的	
00:28	07-28 21:25:27	Hey听起来怪怪的...还是原版的呐好听	
00:11	07-30 17:32:07	- -大雾	
00:24	07-30 17:59:46	这个【泛】	
01:47	08-20 13:24:16	回顾。。。QAQ	
01:06	08-26 15:00:18	好词好声！	
00:28	08-31 00:25:04	好美┭┮﹏┭┮ 	
03:11	08-31 00:27:47	这个吐字很好啊，本来就是这种感觉啊……	
